"Ticker","Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"RBOSGR","NSS ECB",0,0,4.45341666666667,0.840291666666667,12
"RBOSGR","NSS OLS",0.026375,0.108308333333333,0.0786416666666667,0.648258333333333,12
"RBOSGR","NSS WLS",0.0172666666666667,0.143983333333333,0.26935,0.6781,12
"RDSALN","Cubic Spline",0.0622833333333333,0.117633333333333,0.378875,2.37595833333333,12
"RDSALN","NSS ECB",0.0296416666666667,0.0878833333333333,6.60079166666667,0.335133333333333,12
"RDSALN","NSS OLS",0.052775,0.119091666666667,2.21819166666667,0.689075,12
"RDSALN","NSS WLS",0.0521916666666667,0.283741666666667,3.53766666666667,0.409083333333333,12
"REPSM","NSS ECB",0,0,3.91659166666667,0.0428583333333333,12
"REPSM","NSS OLS",4.16666666666667e-05,0.000125,1.85299166666667,0.217725,12
"REPSM","NSS WLS",4.16666666666667e-05,0.000233333333333333,5.066925,0.117766666666667,12
"RESFER","Cubic Spline",0.136208333333333,3.60756666666667,0.211183333333333,0.329258333333333,12
"RESFER","NSS ECB",0.152016666666667,4.39260833333333,1.255775,0.231858333333333,12
"RESFER","NSS OLS",0.161733333333333,3.97265,0.0811833333333333,0.179158333333333,12
"RESFER","NSS WLS",0.153166666666667,4.41284166666667,0.0487,0.238266666666667,12
"SGOFP","Cubic Spline",0.0216416666666667,0.194608333333333,0.500391666666667,6.97545833333333,12
"SGOFP","NSS ECB",0.06005,0.434416666666667,0.323066666666667,2.09053333333333,12
"SGOFP","NSS OLS",0.0820833333333333,0.376791666666667,0.904575,16.27175,12
"SGOFP","NSS WLS",0.0520416666666667,0.380283333333333,0.35815,4.45123333333333,12
"SIEGR","Cubic Spline",0.0729833333333333,0.311691666666667,1.99048333333333,2.59289166666667,12
"SIEGR","NSS ECB",0.0732,0.346425,0.171041666666667,0.707625,12
"SIEGR","NSS OLS",0.0748833333333333,0.350258333333333,0.238266666666667,2.50306666666667,12
"SIEGR","NSS WLS",0.0749083333333333,0.367416666666667,0.145525,0.508433333333333,12
"SRGIM","NSS ECB",0,0,0.475766666666667,0.0133083333333333,12
"SRGIM","NSS OLS",0,0,0.208483333333333,0.105933333333333,12
"SRGIM","NSS WLS",0,0,0.545575,0.031325,12
"TELEFO","Cubic Spline",0.0379583333333333,0.297791666666667,0.0292416666666667,1.7408,12
"TELEFO","NSS ECB",0.0209583333333333,0.0675916666666667,70.8062166666667,0.784825,12
"TELEFO","NSS OLS",0.031525,0.0723333333333333,0.036525,0.653383333333333,12
"TELEFO","NSS WLS",0.0307166666666667,0.0884333333333333,0.043575,0.6239,12
"TELIAS","NSS ECB",0,0,0.0410833333333333,0.312208333333333,12
"TELIAS","NSS OLS",1.66666666666667e-05,0.000216666666666667,0.220041666666667,0.484583333333333,12
"TELIAS","NSS WLS",8.33333333333333e-06,0.000225,5.24568333333333,0.206791666666667,12
"TITIM","NSS ECB",0,0,0.1174,0.132875,12
"TITIM","NSS OLS",0.000116666666666667,0.000791666666666667,0.0734333333333333,0.0733166666666667,12
"TITIM","NSS WLS",1e-04,0.000758333333333333,0.134683333333333,0.184016666666667,12
"TOYOTA","Cubic Spline",0.0722666666666667,0.249833333333333,0.0975333333333333,2.65069166666667,12
"TOYOTA","NSS ECB",0.0720166666666667,0.250716666666667,0.215058333333333,0.964533333333333,12
"TOYOTA","NSS OLS",0.0745166666666667,0.247816666666667,0.304125,2.33315833333333,12
"TOYOTA","NSS WLS",0.072225,0.25045,0.193991666666667,0.286275,12
"TRAGR","Cubic Spline",0.0085,0.008075,1.54231666666667,2.43861666666667,12
"TRAGR","NSS ECB",0.005175,0.00393333333333333,2.31225833333333,0.126733333333333,12
"TRAGR","NSS OLS",0.00884166666666667,0.00696666666666667,5.52604166666667,35.5021416666667,12
"TRAGR","NSS WLS",0.00709166666666667,0.0055,2.127975,0.483016666666667,12
"TRNIM","Cubic Spline",0.0202333333333333,0.0425583333333333,0.0489833333333333,3.64294166666667,12
"TRNIM","NSS ECB",0.00150833333333333,0.0027,0.675516666666667,0.712825,12
"TRNIM","NSS OLS",0.0185166666666667,0.0344583333333333,0.209783333333333,4.08103333333333,12
"TRNIM","NSS WLS",0.0110666666666667,0.0176416666666667,0.267966666666667,3.29045833333333,12
"TTEFP","Cubic Spline",0.044125,0.366333333333333,0.0572083333333333,4.98889166666667,12
"TTEFP","NSS ECB",0.0312916666666667,0.104691666666667,1.18296666666667,1.76935,12
"TTEFP","NSS OLS",0.052325,0.18605,0.430733333333333,12.5537083333333,12
"TTEFP","NSS WLS",0.0431166666666667,0.228341666666667,0.52305,9.70728333333333,12
"UNANA","Cubic Spline",0.0239416666666667,0.0824083333333333,1.85910833333333,1.32235,12
"UNANA","NSS ECB",0.03425,0.10095,78.3804583333333,0.775141666666667,12
"UNANA","NSS OLS",0.048175,0.1679,0.297491666666667,0.138008333333333,12
"UNANA","NSS WLS",0.0383916666666667,0.107725,0.368108333333333,0.700533333333333,12
"VIEFP","NSS ECB",0,0,0.470241666666667,0.0694333333333333,12
"VIEFP","NSS OLS",0,0.000166666666666667,0.438641666666667,0.178508333333333,12
"VIEFP","NSS WLS",0,0.000158333333333333,2.86776666666667,0.0922583333333333,12
"VLVY","Cubic Spline",0.0939166666666667,0.239191666666667,0.721866666666667,7.58411666666667,12
"VLVY","NSS ECB",0.09375,0.143891666666667,1.78805,1.58859166666667,12
"VLVY","NSS OLS",0.126025,0.182083333333333,20.337675,92.2396083333333,12
"VLVY","NSS WLS",0.0928083333333333,0.133983333333333,1.913725,2.60326666666667,12
"VOD","Cubic Spline",0.107541666666667,0.508283333333333,0.05865,2.16515833333333,12
"VOD","NSS ECB",0.103658333333333,0.470575,1.36755833333333,0.364816666666667,12
"VOD","NSS OLS",0.120658333333333,0.552733333333333,134.256241666667,1.09844166666667,12
"VOD","NSS WLS",0.107483333333333,0.509958333333333,0.4005,1.07871666666667,12
"VW","Cubic Spline",0.0894333333333333,0.679025,0.409883333333333,6.31048333333333,12
"VW","NSS ECB",0.105191666666667,1.14126666666667,0.0994583333333333,1.2766,12
"VW","NSS OLS",0.11165,1.04325,0.115858333333333,3.45079166666667,12
"VW","NSS WLS",0.105933333333333,1.188875,0.14465,2.12795,12
"VZ","Cubic Spline",0.0034,0.0142,0.11395,1.96571666666667,12
"VZ","NSS ECB",0.001975,0.00750833333333333,5.727425,0.640841666666667,12
"VZ","NSS OLS",0.0106666666666667,0.039775,20.1105,0.23955,12
"VZ","NSS WLS",0.00979166666666667,0.036375,0.370683333333333,0.17025,12
"WPPLN","NSS ECB",0,0,0.5542,0.069425,12
"WPPLN","NSS OLS",0.007875,0.00813333333333333,0.0573083333333333,2.81930833333333,12
"WPPLN","NSS WLS",0,4.16666666666667e-05,1.09983333333333,0.375483333333333,12
